insitucion_educativa;codigo_dane_sede;nombre_sede_educativa;direccion;telefono_1;telefono_2
Institución Educativa Jose Holguin Garces;176001004434;Ana Maria Lloreda;AV 4 OESTE CL 25;8829555;0
Institución Educativa Jose Holguin Garces;176001005066;Jose Acevedo Y Gomez;AV 5 OESTE 30 164;89449942;0
Institución Educativa Jose Holguin Garces;176001004426;Marice Sinisterra;CL 30 BIS OESTE 4 A 00;8944382;0
Institución Educativa Jose Holguin Garces;176001004507;Ulpiano Lloreda;AV 4 BIS 25 08;8944826;0
Institución Educativa Jose Holguin Garces;376001020501;Villa Del Mar;AV 8 OESTE 30 C 40;8941908;0
Institución Educativa Jose Manuel Saavedra Galindo;176001001826;Sede Principal;KR 11 A 28 25;4431819;3174963346
Institución Educativa Jose Manuel Saavedra Galindo;176001004019;Benjamin Herrera;CL 26 12 34;4445861;0
Institución Educativa Jose Manuel Saavedra Galindo;176001004213;Nuestra Señora De Fatima;KR 10 28 10;4416363;0
Institución Educativa Juan  XXIII;176001003918;Sede Principal;CL 46 28 F 31;4416028;0
Institución Educativa Juan  XXIII;176001003004;Bello Horizonte;CL 36 A 27 A 30;4436383;0
Institución Educativa Juan  XXIII;176001003063;Juan XXIII;KR 28 C 50 16;4452548;0
Institución Educativa Juan  XXIII;176001023285;Julio Rincon;CL 70 28 E BIS 00;4458897;0
Institución Educativa Juan  XXIII;176001005643;Niño Jesus De Praga;KR 28 C 44 90;4454201;0
Institución Educativa Juan  XXIII;176001015860;San Buenaventura;DG 29B T29 30;4480491;0
Institución Educativa Juan De Ampudia;176001003586;Sede Principal;KR 12 57 13;3809395;0
Institución Educativa Juan De Ampudia;176001001290;Jardin Nacional No.1;CL 58 11 B 48;3816357;0
Institución Educativa Juan De Ampudia;176001004248;Once De Noviembre;KR 11 D 52 09;3809213;0
Institución Educativa Juan Pablo II;176001012101;Sede Principal;CL 1 A 78 23;3240917;0
Institución Educativa Juan Pablo II;176001011724;Alvaro Escobar Navia;KR 73 1 B 65;3239801;0
Institución Educativa Juan Pablo II;176001004515;Portete De Tarqui;CL 1 A OESTE 73 00;3231730;0
Institución Educativa Juan Pablo II;176001022572;Templo Del Saber;CL 2 C OESTE 75 10;3233551;0
Institución Educativa Juana De Caicedo Y Cuero;176001004485;Sede Principal;KR 50 1 85;5190421;3175109138
Institución Educativa Juana De Caicedo Y Cuero;176001042786;Sede Antonia Santos;KR 38 A 3 A 14;5190421;3175109138
Institución Educativa Juana De Caicedo Y Cuero;176001004396;Sede Simon Bolivar;CL 1 OESTE 42 A 94;5190421;3175109138
Institución Educativa Julio Caicedo Y Tellez;176001003951;Sede Principal;KR 24 C 57 25;3450192;3174361830
Institución Educativa Julio Caicedo Y Tellez;176001002733;Batalla De Carabobo;CL 16 51 00;3450192;3174361830
Institución Educativa Julio Caicedo Y Tellez;176001002873;Esther Zorrilla;CL 59 24 00;4438583;0
Institución Educativa Julio Caicedo Y Tellez;176001002776;Francisco De Paula Santander;KR 26 H 50 53;3450192;3174361830
Institución Educativa Julio Caicedo Y Tellez;176001012488;Jardín Infantil Mi Bosquesito;CL 57 24 A 03;3450192;3174361830
Institución Educativa La Anunciacion;176001014359;Sede Principal;KR 26 A 74 00;4205786;0
Institución Educativa La Anunciacion;176001028040;Los Naranjos;CR 23 G3 78 00;4205786;0
Institución Educativa La Anunciacion;176001030117;Puerta Del Sol;CL 84 26 C 04;4205786;0
Institución Educativa La Buitrera;276001005184;Jose María García de Toledo;KM 3 CORREGIMIENTO LA BUITRERA;3126660068;0
Institución Educativa La Buitrera;276001005141;Centro Docente Los Comuneros;KM 14 ALTOS DEL ROSARIO VIA LA BUITRERA;3126660068;0
Institución Educativa La Buitrera;276001003394;Centro Docente Nuestra Señora De Las Lajas;KM 5 5 VIA LA BUITRERA;3126660068;0
Institución Educativa La Buitrera;176001003080;Centro Docente Soledad Acosta De Samper;KM 18 VEREDA EL OTOÑO;3126660068;0
Institución Educativa La Buitrera;276001800260;San Gabriel;KM 4 SECTOR POLVORINES;3126660068;0
Institución Educativa La Esperanza;176001014138;Sede Principal;KR 94 A OESTE 1A 1 46;3480593;3174282357
Institución Educativa La Esperanza;176001800036;Escuela Minuto De Dios;KR 93 3 00;3480593;3174282357
Institución Educativa La Esperanza;176001005023;Magdalena Ortega De Nariño;CL 4 OESTE 94 A 54;3326804;0
Institución Educativa La Esperanza;176001004574;Monseñor Luis Adriano Diaz;KR 94 C 2 111;3325191;0
Institución Educativa La Leonera;476001020719;Sede Principal;CORREGIMIENTO LA LEONERA;3137408628;3206917954
Institución Educativa La Leonera;276001005371;Jorge Eliecer Gaitan;CORREGIMIENTO LA LEONERA VEREDA EL PORVENIR;3137408628;3206917954
Institución Educativa La Leonera;276001005532;Juan De Los Barrios;CORREGIMIENTO LA LEONERA VEREDA EL PAJUIL;3137408628;3206917954
Institución Educativa La Merced;176001001699;Sede Principal;CL 47 4 E 30;3827677;3206966514
Institución Educativa La Merced;176001027213;Cendoe;CL 44 A 4 B 00;3827677;3206966514
Institución Educativa La Merced;176001004094;San Pedro Alejandrino;KR 4 E 46 04;3827677;3206966514
Institución Educativa La Merced;176001012119;San Vicente De Paul;KR 2 B 45 A 20;3827677;3206966514
Institución Educativa La Paz;276001042756;Saavedra Galindo;CORREGIMIENTO LA PAZ CABECERA;3122586643;0
Institución Educativa La Paz;276001043302;La Granja;VEREDA LA GRANJA;3122586643;0
Institución Educativa La Paz;276001005541;Jorge Robledo;CORREGIMIENTO LA PAZ CABECERA;3122586643;0
Institución Educativa La Paz;276001005559;Sagrado Corazon De Jesus;CORREGIMIENTO LA CASTILLA VEREDA EL FILO;3122586643;0
Institución Educativa La Paz;276001020434;Villa Del Rosario;CORREGIMIENTO LA PAZ VEREDA VILLA DEL ROSARIO;3122586643;0
Institución Educativa Libardo Madrid Valderrama;176001006356;Sede Principal;KR 41 H 39 73;3273564;3108226510
Institución Educativa Libardo Madrid Valderrama;176001005309;Sede Angelica Sierra Arizabaleta;KR 41F 39 58;3273564;3108226510
Institución Educativa Libardo Madrid Valderrama;176001042778;Sede Pablo Neruda;KR 39 D 38 44;3273564;3108226510
Institución Educativa Libardo Madrid Valderrama;176001007158;Sede Primero De Mayo;CL 39 37 14 ESQUINA;3273564;3108226510
Institución Educativa Liceo Departamental;176001001745;Sede Principal;KR 37 A 8 38;5141714;5578912
Institución Educativa Liceo Departamental;176001004990;La Gran Colombia;KR 24 7 74;5580066;0
Institución Educativa Liceo Departamental;176001001001;La Presentacion;CL 5B1 29 06;5576236;0
Institución Educativa Los Andes;276001011184;Tierra de Hombres;CORREGIMIENTO LOS ANDES VEREDA EL CABUYAL SECTOR VENTIADEROS;3154728030;0
Institución Educativa Los Andes;276001005524;Francisco Jose De Caldas;CORREGIMIENTO LOS ANDES CABECERA;3154728030;0
Institución Educativa Los Andes;276001008434;Juan Pablo I;CORREGIMIENTO LOS ANDES VEREDE PEÑAS BLANCAS;3154728030;0
Institución Educativa Luis Fernando Caicedo;176001008766;Sede Principal;AV 5 A OESTE 47 04;8944361;0
Institución Educativa Luis Fernando Caicedo;176001007638;Cecilia Caballero De Lopez;AV 5 A OESTE 34 100;8944316;0
Institución Educativa Manuel Maria Mallarino;176001008723;Sede Principal;CL 63 CR 7 L BIS 63 10;3797428;3127771317
Institución Educativa Manuel Maria Mallarino;176001004043;Carlos Holguin Sardi;PASAJE 7M BIS 6400;3797428;0
Institución Educativa Manuel Maria Mallarino;176001038070;Laura Vicuña;CL 63 CR 7 L BIS 63 10;3797428;0
Institución Educativa Manuel Maria Mallarino;176001007093;Los Pinos;CL 69A 7M BIS 00;3797428;0
Institución Educativa Marice Sinisterra;176001002989;Sede Principal;CL 39 25 A 43;4453459;3015050677
Institución Educativa Marice Sinisterra;176001007891;Asturias;KR 24 B 43 40;4485469;3015050677
Institución Educativa Marice Sinisterra;176001003861;Fenalco Asturias;CL 44 25 A 12;4416596;0
Institución Educativa Monseñor Ramon Arcila;176001027001;Sede Principal;DG 26I3 T 80 A 18;3102917566;0
Institución Educativa Monseñor Ramon Arcila;176001023811;Alfonso Reyes Echandia;DG 26 P 105 04;3102921824;0
Institución Educativa Monseñor Ramon Arcila;176001042280;Puertas Del Sol IV y V;DG 108 26 I 40;3102916884;0
Institución Educativa Monseñor Ramon Arcila;176001022416;Raul Silva Holguin;DG 26 K 83 24;3102925876;0
Institución Educativa Montebello;276001011354;Sede Principal;AV 43 OESTE 5A 49;8888760;3154344456
Institución Educativa Montebello;276001011770;Andres Joaquin Lenis;VEREDA CAMPOALEGRE;8888760;3154344456
Institución Educativa Montebello;276001025452;San Pedro Apostol;AV LOS ESTUDIANTES SECTOR LA ESCUELA;8888760;3154344456
Institución Educativa Navarro;276001003289;Juan Bautista de la Salle;CABECERA CORREGIMIENTO NAVARRO;3045256042;0
Institución Educativa Navarro;276001003238;Sede Juan Del Corral;VEREDA EL ESTERO CORREGIMIENTO NAVARRO;3045256042;0
Institución Educativa Normal Superior Los Farallones;176001002253;Sede Principal;KR 22 2 65 OESTE;5587300;0
Institución Educativa Normal Superior Los Farallones;176001004591;Francisco Jose De Caldas;KR 4 OESTE 12 A 59;5577963;0
Institución Educativa Normal Superior Los Farallones;176001011791;Los Cristales;CL 11 24 C 50 OESTE ;5587300;0
Institución Educativa Normal Superior Los Farallones;176001004779;Manuel Sinisterra Patiño;KR 14 CL 3 OESTE;5560314;0
Institución Educativa Normal Superior Los Farallones;176001005210;Maria Perlaza;CL 5 OESTE 18 02;3799746;0
Institución Educativa Normal Superior Los Farallones;176001001788;Martin Restrepo Mejia;KR 22 OESTE 2 65;5561227;0
Institución Educativa Normal Superior Los Farallones;176001004523;Salvador Iglesias;CL 2 B 22 70;5560120;0
Institución Educativa Normal Superior Santiago De Cali;176001004531;Sede Principal;KR 33 A 12 60;3356233;0
Institución Educativa Normal Superior Santiago De Cali;176001013018;Joaquin De Caicedo Y Cuero;KR 36A 12C 00;3351889;0
Institución Educativa Nuevo Latir;176001043791;Sede Principal;CL 76 28 20;4363835;3183892024
Institución Educativa Nuevo Latir;176001800214;Isaias Duarte Cancino;CL 96 KR 28 E3 02;4363835;3183892024
Institución Educativa Pance;276001008574;Sede Principal;KM 1 VIA LA VORAGINE;5550136;3105029532
Institución Educativa Pance;276001007659;Laureano Gomez;CORREGIMIENTO PANCE VEREDA EL BANQUEO;3105029532;0
Institución Educativa Pance;276001004897;Pio XII;CORREGIMIENTO PANCE VEREDA LA VORAGINE;3105029532;0
Institución Educativa Pance;276001005231;República de Santo Domingo;CORREGIMIENTO PANCE PUEBLO PANCE;3105029532;0
Institución Educativa Pance;276001004838;San Francisco;CORREGIMIENTO PANCE VEREDA SAN FRANCISCO;3105029532;0
Institución Educativa Pichinde;276001022267;José Holguín Garces;CORREGIMIENTO PICHINDE;3137633895;0
Institución Educativa Pichinde;276001005494;La Inmaculada Concepcion;CORREGIMIENTO PICHINDE;3137633895;0
