insitucion_educativa;codigo_dane_sede;nombre_sede_educativa;direccion;telefono_1;telefono_2
Institución Educativa Tecnica Gabriel Garcia Marquez;176001015983;Jose Ramon Bejarano;KR 32 Q 49 00;4364394;0
Institución Educativa Tecnico Comercial Jose Maria Vivas Balcazar;176001001796;Sede Principal;CL 14 48 A 32;3351363;0
Institución Educativa Tecnico Comercial Jose Maria Vivas Balcazar;176001004922;Fernando Velasco;CL 23 44 A 16;3351363;3351541
Institución Educativa Tecnico Comercial Jose Maria Vivas Balcazar;176001004744;Santo Domingo;KR 47 13 C 100;3351363;3366065
Institución Educativa Tecnico Comercial Villa Del Sur;176001005121;Sede Principal;CL 30 A 41 E 99;3799296;3145818579
Institución Educativa Tecnico Comercial Villa Del Sur;176001002962;Susana Vinasco De Quintana;CL 31 33 A 00;3736522;3145818579
Institución Educativa Tecnico De Comercio Santa Cecilia;176001001672;Sede Principal;CL 61AN 2GN 62;6642088;0
Institución Educativa Tecnico De Comercio Santa Cecilia;176001042409;Alto Menga;CL 53 AN 8 27;6540699;0
Institución Educativa Tecnico De Comercio Santa Cecilia;176001042760;Brisas De Los Alamos;AV 2 BN CL 72;6650489;0
Institución Educativa Tecnico De Comercio Santa Cecilia;276001011745;La Inmaculada - Bataclan;VEREDA BATACLAN CERRO TRES CRUCES;6540699;0
Institución Educativa Tecnico De Comercio Santa Cecilia;176001004655;Republica De Brasil;CL 43 7 03;6650489;0
Institución Educativa Tecnico De Comercio Santa Cecilia;176001003110;Republica De Francia;CL 62N 2BN 00;6651433;0
Institución Educativa Tecnico Industrial  Multiproposito;176001037600;Sede Principal;KR 56 7 OESTE 190;5135947;0
Institución Educativa Tecnico Industrial  Multiproposito;176001004981;Jorge Elieser Gonzalez Rubio;CL 8 OESTE 52 16;5535068;0
Institución Educativa Tecnico Industrial  Multiproposito;176001003268;Luis Alberto Rosales;KR 51B 6H 00 OESTE;5546003;0
Institución Educativa Tecnico Industrial  Multiproposito;176001004493;Republica De Panama;DG 48 12 06 OESTE;5513718;0
Institución Educativa Tecnico Industrial  Multiproposito;276001005877;Santa Luisa;CALLE PRINCIPAL VEREDA LA SIRENA;5135948;0
Institución Educativa Tecnico Industrial Antonio Jose Camacho;176001001753;Sede Principal;KR 16 12 00;5582689;0
Institución Educativa Tecnico Industrial Antonio Jose Camacho;176001021843;Jardin Infantil Divino Salvador;KR 15 6 110;5573549;0
Institución Educativa Tecnico Industrial Antonio Jose Camacho;176001003381;Marco Fidel Suarez;KR 16 6 61;5572533;0
Institución Educativa Tecnico Industrial Antonio Jose Camacho;176001003209;Olga Lucia Lloreda;KR 23 A 13 B 11;5574175;0
Institución Educativa Tecnico Industrial Antonio Jose Camacho;176001004949;Republica Del Peru;CL 9 E 23 02;3102157;0
Institución Educativa Tecnico Industrial Carlos Holguin Mallarino;176001028872;Sede Principal;CL 55 A 30 B 50;4263307;0
Institución Educativa Tecnico Industrial Carlos Holguin Mallarino;176001800001;El Retiro;KR 37 54 A 10;3183129894;0
Institución Educativa Tecnico Industrial Carlos Holguin Mallarino;176001003411;Miguel De Pombo;CL 92 28 D4 13;3227201060;0
Institución Educativa Tecnico Industrial Carlos Holguin Mallarino;176001030478;Niño Jesus De Atocha;CL 83 28 E3 05;3104703056;0
Institución Educativa Tecnico Industrial Comuna 17;176001032055;Sede Principal;KR 53 18 A 25;3150537;0
Institución Educativa Tecnico Industrial Comuna 17;176001004914;Sede Luis Carlos Rojas Garcés;KR 56 13 F 40;3318530;0
Institución Educativa Tecnico Industrial Diez De Mayo;176001002881;Sede Principal;KR 25 A 26 A 13;3373492;0
Institución Educativa Tecnico Industrial Diez De Mayo;176001002784;Republica De Italia;KR 24 B CL 26 B;3213046;0
Institución Educativa Tecnico Industrial Donald Rodrigo Tafur;176001028970;Sede Principal;KR 43 B 40 11;3377731;0
Institución Educativa Tecnico Industrial Donald Rodrigo Tafur;176001003055;Alejandro Montaño;KR 41 H 38 44;3281963;0
Institución Educativa Tecnico Industrial Donald Rodrigo Tafur;176001004230;Antonio Nariño;KR 40 A 38 38;3382468;0
Institución Educativa Tecnico Industrial Donald Rodrigo Tafur;176001003403;Francisco Jose Ruiz;KR 43 B 38 A 16;3281352;0
Institución Educativa Tecnico Industrial Donald Rodrigo Tafur;176001007298;Jose Maria Carbonell;KR 39 D 39 36;3277987;0
Institución Educativa Tecnico Industrial Jose Maria Carbonell;176001007166;Sede Principal;CL 13 32 88;3369128;0
Institución Educativa Tecnico Industrial Jose Maria Carbonell;176001004728;Honorio Villegas;KR 35 13 A 20;3369135;0
Institución Educativa Tecnico Industrial Jose Maria Carbonell;176001003225;Isabel De Castilla;KR 33 15 82;3369137;0
Institución Educativa Tecnico Industrial Luz Haydee Guerrero Molina;176001032063;Sede Principal;KR 28 E2 72 S 02;4371539;0
Institución Educativa Tecnico Industrial Luz Haydee Guerrero Molina;176001012976;Rodrigo Lloreda Caicedo;KR 30 44 A 21;4374779;0
Institución Educativa Tecnico Industrial Pedro Antonio Molina;176001007875;Sede Principal;KR 1A 10 71 00;4409922;3168304329
